tavg,tmin,tmax,wind,globrad,precip,relhumid,de-date
1.2216666666666667,-2.6566666666666667,5.528333333333333,3.7383333333333333,14.626666666666667,0.8533333333333334,83.26166666666667,03.04.2016
1.9800000000000002,-1.8933333333333333,5.888333333333333,3.573333333333333,9.625,1.781666666666667,86.97166666666665,04.04.2016
3.098333333333333,-1.0199999999999998,8.328333333333333,3.2383333333333333,14.371666666666668,0.7966666666666665,83.46,05.04.2016
2.893333333333333,-1.8516666666666666,8.735000000000001,2.686666666666667,11.85,1.575,82.23,06.04.2016
4.06,-1.7866666666666664,9.958333333333334,2.9716666666666662,11.876666666666665,0.6683333333333333,83.51833333333333,07.04.2016
3.8350000000000004,0.16833333333333336,8.020000000000001,3.1216666666666666,9.431666666666667,4.096666666666667,88.75166666666667,08.04.2016
3.278333333333333,-0.6533333333333333,8.553333333333333,3.565,12.361666666666666,3.4316666666666666,84.615,09.04.2016
4.033333333333333,-1.4033333333333333,9.799999999999999,3.56,14.423333333333332,0.9633333333333334,77.33166666666666,10.04.2016
3.948333333333333,-1.2516666666666667,9.866666666666667,2.7733333333333334,15.121666666666664,0.32,78.79,11.04.2016
4.616666666666667,-1.6766666666666667,10.256666666666668,2.1483333333333334,13.979999999999999,2.1866666666666665,77.085,12.04.2016
5.646666666666666,0.4566666666666666,11.863333333333332,2.7016666666666667,15.301666666666668,1.7750000000000001,76.385,13.04.2016
6.0249999999999995,0.5166666666666667,10.921666666666667,2.8666666666666667,10.743333333333334,1.2966666666666666,81.665,14.04.2016
7.036666666666666,1.055,12.633333333333333,3.0483333333333333,15.525,0.64,80.29166666666667,15.04.2016
8.110000000000001,2.1966666666666668,14.479999999999999,2.9250000000000003,15.38,0.6683333333333333,79.09333333333333,16.04.2016
8.345,3.0733333333333337,13.670000000000002,2.565,16.419999999999998,1.4566666666666668,77.585,17.04.2016
9.458333333333334,3.2733333333333334,15.296666666666667,2.813333333333333,17.213333333333335,0.6849999999999999,76.115,18.04.2016
